start,finish,counter
1600809077994,1600809082929,0
1600809169220,1600809170343,1
1600809230391,1600809232431,2
1600809291579,1600809293645,3
1600809352753,1600809353980,4
1600809413959,1600809415318,5
1600809475198,1600809480283,6
1600809537439,1600809538934,7
1600809567574,1600809568933,8
1600809659975,1600809661690,9
1600809690140,1600809692100,10
1600809721235,1600809723023,11
1600809812678,1600809816209,12
1600809905057,1600809906935,13
1600809966244,1600809971561,14
