start,finish,counter
1599219137894,1599219195983,0
1599219167940,1599219208226,1
1599219228103,1599219234530,2
1599219288265,1599219295044,3
1599219348436,1599219356963,4
1599219378544,1599219404809,5
1599219468795,1599219473575,6
1599219529020,1599219533446,7
1599219589200,1599219595499,8
1599219649387,1599219656101,9
1599219709577,1599219714797,10
1599219769785,1599219779587,11
1599219830012,1599219836636,12
1599219890230,1599219896539,13
1599220010634,1599220017698,14
