start,finish,counter
1599097221814,1599097229757,0
1599097256851,1599097260458,1
1599097327005,1599097333272,2
1599097397132,1599097410783,3
1599097467275,1599097474272,4
1599097502315,1599097508679,5
1599097571448,1599097574059,6
1599097642620,1599097647714,7
1599097677671,1599097680309,8
1599097747817,1599097754441,9
1599097817943,1599097822548,10
1599097888107,1599097893326,11
1599097923157,1599097929371,12
1599097993315,1599098001579,13
1599098098509,1599098101887,14
