start,finish,counter
1599131283061,1599131306276,0
1599131353250,1599131360526,1
1599131388351,1599131399139,2
1599131460515,1599131462732,3
1599131530733,1599131533352,4
1599131564809,1599131569191,5
1599131636009,1599131638220,6
1599131705200,1599131718941,7
1599131740259,1599131746459,8
1599131776417,1599131779170,9
1599131880782,1599131887417,10
1599131950995,1599131958807,11
1599131986055,1599131991675,12
1599132057218,1599132059781,13
1599132127411,1599132129836,14
