start,finish,counter
1600499137815,1600499144371,0
1600499172880,1600499174018,1
1600499243120,1600499246302,2
1600499278224,1600499278799,3
1600499348436,1600499353889,4
1600499418682,1600499419668,5
1600499488861,1600499489730,6
1600499559106,1600499560497,7
1600499594159,1600499598944,8
1600499664377,1600499669088,9
1600499734574,1600499735382,10
1600499769674,1600499770407,11
1600499839918,1600499840720,12
1600499910137,1600499915490,13
1600500015324,1600500016039,14
