start,finish,counter
1599699817342,1599699828307,0
1599699877496,1599699883948,1
1599699907602,1599699911645,2
1599699967782,1599699970655,3
1599700027946,1599700031351,4
1599700088112,1599700092380,5
1599700148296,1599700152083,6
1599700208480,1599700212091,7
1599700268618,1599700271874,8
1599700358922,1599700363948,9
1599700449114,1599700452933,10
1599700509282,1599700512555,11
1599700569424,1599700576676,12
1599700629602,1599700634489,13
1599700689692,1599700693489,14
