start,finish,counter
1600680364895,1600680376734,0
1600680425074,1600680430764,1
1600680485348,1600680487582,2
1600680545572,1600680548147,3
1600680605772,1600680612389,4
1600680666033,1600680671906,5
1600680726299,1600680728354,6
1600680786513,1600680795596,7
1600680846771,1600680849997,8
1600680907056,1600680913556,9
1600680967317,1600680976112,10
1600681027517,1600681030576,11
1600681087788,1600681090081,12
1600681148005,1600681150130,13
1600681208209,1600681214895,14
