start,finish,counter
1599619839983,1599619844097,0
1599619904264,1599619906846,1
1599619960554,1599619963637,2
1599620030852,1599620033064,3
1599620065936,1599620070223,4
1599620123272,1599620127841,5
1599620192570,1599620197129,6
1599620262929,1599620266245,7
1599620334287,1599620337197,8
1599620368426,1599620370122,9
1599620438749,1599620442282,10
1599620509100,1599620513537,11
1599620565381,1599620571506,12
1599620635685,1599620640209,13
1599620742066,1599620745632,14
